,Title,Author,Average Rating,#Pages,Ratings Count,Publication Date,Language Code,Average Ranking,Log Reg Predicted Rating,Log Reg Ranking,Lin Reg Predicted Rating,Lin Reg Ranking,KNN Reg Predicted Rating,KNN Reg Ranking,KNN Class Predicted Rating,KNN Class Ranking
4522,Evil Under the Sun (Hercule Poirot  #24),Agatha Christie,3.97,220,36334,9/1/2006,eng,4572.25,4,3775.0,3.0042921575486385,5446.0,2.8,4531.0,3,4537.0
2819,El nombre de la rosa,Umberto Eco,4.12,782,158,2/28/2006,spa,4574.5,4,2376.0,3.106688704222044,3126.0,2.8,3542.0,0,9254.0
9238,The Secret on Ararat (Babylon Rising  #2),Tim LaHaye/Bob Phillips,4.23,416,3153,11/28/2006,eng,4575.0,4,7522.0,3.1817795051158746,1875.0,2.8,7173.0,4,1730.0
9749,Six Frigates: The Epic History of the Founding of the U. S. Navy,Ian W. Toll,4.32,560,3966,10/17/2006,eng,4576.0,4,7910.0,3.2432174331199177,1128.0,2.8,7444.0,4,1822.0
3808,Voices (Annals of the Western Shore  #2),Ursula K. Le Guin,3.8800000000000003,341,3493,9/1/2006,eng,4577.75,4,3204.0,2.9428542295445954,6864.0,2.8,4123.0,3,4120.0
3235,City on the Seine: Paris in the Time of Richelieu and Louis XIV  1614-1715,Andrew P. Trout,4.17,288,0,6/5/1996,eng,4578.25,4,2714.0,3.1408208864465124,2483.0,2.8,3767.0,0,9349.0
2648,The Unbearable Lightness of Being,Milan Kundera/Michael Henry Heim,4.1,320,248686,10/27/2009,eng,4578.75,4,2247.0,3.0930358313322563,3395.0,2.8,3454.0,0,9219.0
9110,Star Wars:  Revenge of the Sith Incredible Cross-Sections,Curtis Saxton/Hans Jenssen/Richard Chasemore,4.21,32,100,4/2/2005,eng,4578.75,4,7424.0,3.168126632226087,2083.0,2.8,7097.0,4,1711.0
4873,All About Love: New Visions,bell hooks,4.01,240,10928,12/22/1999,eng,4579.0,4,4052.0,3.0315979033282128,4785.0,2.8,4728.0,3,4751.0
3128,The Gift of Asher Lev,Chaim Potok,4.16,384,6224,9/10/1997,eng,4579.5,4,2634.0,3.1339944500016186,2632.0,2.8,3715.0,0,9337.0
3067,Silver on the Tree (The Dark is Rising  #5),Susan Cooper,4.15,274,27802,12/1/2000,eng,4581.25,4,2578.0,3.1271680135567252,2742.0,2.8,3681.0,0,9324.0
2921,Letters of E.B. White,E.B. White/Dorothy Lobrano Guth/Martha White/John Updike,4.13,736,694,11/28/2006,eng,4582.0,4,2460.0,3.1135151406669372,2988.0,2.8,3600.0,0,9280.0
3323,Seven Plays,Sam Shepard/Richard Gilman,4.18,336,4967,5/1/1984,eng,4582.5,4,2790.0,3.1476473228914057,2339.0,2.8,3823.0,0,9378.0
9258,The Dream Cycle of H.P. Lovecraft: Dreams of Terror and Death,H.P. Lovecraft/E. Hoffmann Price/Neil Gaiman,4.23,387,6253,2/25/2003,eng,4583.75,4,7538.0,3.1817795051158746,1876.0,2.8,7185.0,4,1736.0
4881,The Guardship (Thomas Marlowe  #1),James L. Nelson,4.01,384,313,1/5/2000,eng,4584.0,4,4060.0,3.0315979033282128,4786.0,2.8,4734.0,3,4756.0
607,What Jane Austen Ate and Charles Dickens Knew: From Fox Hunting to Whist—the Facts of Daily Life in 19th-Century England,Daniel Pool,3.85,416,4873,4/21/1994,en-US,4584.25,4,610.0,2.922374920209914,7248.0,2.6,8227.0,3,2252.0
3007,Les Nouvelles Recettes irrésistibles de Roald Dahl,Roald Dahl/Quentin Blake,4.14,64,0,9/18/2002,fre,4587.5,4,2533.0,3.120341577111831,2862.0,2.8,3648.0,0,9307.0
2389,Burr,Gore Vidal,4.07,430,7265,2/15/2000,eng,4588.25,4,2047.0,3.0725565219975755,3833.0,2.8,3315.0,0,9158.0
4817,Babies (Baby Einstein),Julie Aigner-Clark,4.0,20,31,4/2/2002,eng,4588.75,4,4002.0,3.0247714668833194,4936.0,2.8,4687.0,3,4730.0
459,Alcestis,Euripides/William Arrowsmith,3.83,142,1950,2/1/1990,eng,4589.0,4,486.0,2.9087220473201265,7507.0,2.6,8192.0,3,2171.0
2598,In Praise of Shadows,Jun'ichirō Tanizaki/Thomas J. Harper/Edward G. Seidensticker,4.09,73,467,5/3/2001,eng,4590.0,4,2205.0,3.0862093948873626,3518.0,2.8,3430.0,0,9207.0
4981,Jill the Reckless,P.G. Wodehouse,4.02,290,666,4/7/2005,eng,4590.25,4,4141.0,3.0384243397731066,4625.0,2.8,4790.0,3,4805.0
3910,Mandie and the Jumping Juniper (Mandie  #18),Lois Gladys Leppard,3.89,160,874,2/2/2008,eng,4590.25,4,3299.0,2.9496806659894887,6715.0,2.8,4197.0,3,4150.0
621,Lysistrata,Aristophanes/Jeffrey Henderson,3.85,320,76,6/21/1990,eng,4591.5,4,619.0,2.922374920209914,7249.0,2.6,8235.0,3,2263.0
3025,The Trial of God: (as it was held on February 25  1649  in Shamgorod),Elie Wiesel/Robert McAfee Brown/Matthew Fox,4.14,208,957,11/14/1995,eng,4594.5,4,2546.0,3.120341577111831,2863.0,2.8,3658.0,0,9311.0
2492,Le Portrait de Dorian Gray,Oscar Wilde/Michel Etienne/Daniel Mortier,4.08,345,47,6/4/1998,fre,4594.5,4,2126.0,3.0793829584424692,3688.0,2.8,3377.0,0,9187.0
2168,The 500 Hats of Bartholomew Cubbins,Dr. Seuss,4.04,56,13097,12/9/1989,eng,4594.75,4,1853.0,3.052077212662894,4280.0,2.8,3157.0,0,9089.0
2493,The Portrait of Dorian Gray,Oscar Wilde/Elizabeth  Gray,4.08,51,85,10/10/1999,eng,4595.5,4,2127.0,3.0793829584424692,3689.0,2.8,3378.0,0,9188.0
4062,Kitty Takes a Holiday (Kitty Norville  #3),Carrie Vaughn,3.91,303,16168,4/1/2007,eng,4595.5,4,3425.0,2.9633335388792763,6414.0,2.8,4295.0,3,4248.0
4731,The Devilish Pleasures of a Duke (Boscastle  #6),Jillian Hunter,3.99,345,938,7/31/2007,eng,4595.5,4,3937.0,3.017945030438426,5129.0,2.8,4647.0,3,4669.0
9508,BFF*: Just As Long As We're Together / Here's to You  Rachel Robinson (*Best Friends Forever),Judy Blume,4.26,512,479,3/27/2007,eng,4595.5,4,7719.0,3.2022588144505555,1585.0,2.8,7301.0,4,1777.0
2494,The Picture of Dorian Gray,Oscar Wilde/Donald L. Lawler,4.08,462,171,1/1/1988,eng,4596.5,4,2128.0,3.0793829584424692,3690.0,2.8,3379.0,0,9189.0
4570,Forever Odd (Odd Thomas  #2),Dean Koontz,3.97,364,61555,10/31/2006,eng,4597.0,4,3820.0,3.0042921575486385,5447.0,2.8,4559.0,3,4562.0
2495,The Picture of Dorian Gray,Oscar Wilde/Michael Gillespie,4.08,517,663,8/1/2006,en-US,4597.5,4,2129.0,3.0793829584424692,3691.0,2.8,3380.0,0,9190.0
2877,The Ends of the Earth: A Journey to the Frontiers of Anarchy,Robert D. Kaplan,4.12,496,1278,1/28/1997,eng,4598.5,4,2426.0,3.106688704222044,3127.0,2.8,3574.0,0,9267.0
2256,Beauty,Robin McKinley,4.05,325,3258,7/26/2005,eng,4598.5,4,1929.0,3.058903649107788,4131.0,2.8,3218.0,0,9116.0
2496,The Picture of Dorian Gray,Oscar Wilde/Joseph Bristow,4.08,229,1089,11/1/2006,eng,4598.5,4,2130.0,3.0793829584424692,3692.0,2.8,3381.0,0,9191.0
9684,Pedro Páramo / El Llano en llamas,Juan Rulfo,4.29,290,5103,4/1/2006,spa,4599.25,4,7855.0,3.222738123785237,1324.0,2.8,7409.0,4,1809.0
4333,Bacacay,Witold Gombrowicz/Bill Johnston,3.94,275,491,5/1/2006,eng,4599.5,4,3630.0,2.983812848213957,5921.0,2.8,4429.0,3,4418.0
2623,Dandelion Wine,Ray Bradbury,4.09,267,676,2/1/1999,en-US,4599.75,4,2229.0,3.0862093948873626,3519.0,2.8,3440.0,0,9211.0
2879,The Ends Of The Earth: A Journey At The Dawn Of The 21st Century,Robert D. Kaplan,4.12,476,10,2/27/1996,eng,4600.0,4,2428.0,3.106688704222044,3128.0,2.8,3576.0,0,9268.0
9686,Pedro Paramo / El Llano En Llamas,Juan Rulfo,4.29,290,6,11/1/2002,spa,4600.75,4,7857.0,3.222738123785237,1325.0,2.8,7411.0,4,1810.0
3479,Hawaii,James A. Michener,4.2,1136,66298,7/9/2002,eng,4601.25,4,2922.0,3.1613001957811937,2139.0,2.8,3929.0,0,9415.0
3436,Operating Instructions: A Journal of My Son's First Year,Anne Lamott,4.19,251,21507,3/8/2005,eng,4603.0,4,2882.0,3.1544737593363,2228.0,2.8,3897.0,0,9405.0
5005,Piccadilly Jim,P.G. Wodehouse,4.02,302,2673,10/21/2004,eng,4603.5,4,4165.0,3.0384243397731066,4626.0,2.8,4811.0,3,4812.0
3376,Daybreak: Thoughts on the Prejudices of Morality,Friedrich Nietzsche/R.J. Hollingdale,4.18,292,818,11/13/1997,eng,4603.75,4,2829.0,3.1476473228914057,2340.0,2.8,3857.0,0,9389.0
498,Aristophanes 1: The Acharnians/Peace/Celebrating Ladies/Wealth,Aristophanes/David R. Slavitt,3.83,336,4,1/29/1998,eng,4604.75,4,522.0,2.9087220473201265,7508.0,2.6,8197.0,3,2192.0
2727,And I Don't Want to Live This Life: A Mother's Story of Her Daughter's Murder,Deborah Spungen,4.1,408,4746,9/29/1996,eng,4605.25,4,2301.0,3.0930358313322563,3396.0,2.8,3491.0,0,9233.0
3127,The Promise,Chaim Potok,4.15,368,11255,11/8/2005,eng,4606.5,4,2633.0,3.1271680135567252,2743.0,2.8,3714.0,0,9336.0
2352,Odds Against (Sid Halley  #1),Dick Francis,4.06,288,3749,2/1/2005,eng,4608.0,4,2016.0,3.0657300855526812,3978.0,2.8,3290.0,0,9148.0
4592,Of Love and Shadows,Isabel Allende/Margaret Sayers Peden,3.97,304,17808,8/30/2005,eng,4608.25,4,3836.0,3.0042921575486385,5448.0,2.8,4568.0,3,4581.0
2353,Banker,Dick Francis,4.06,288,3092,10/3/2000,eng,4609.0,4,2017.0,3.0657300855526812,3979.0,2.8,3291.0,0,9149.0
752,The Innocents Abroad,Mark Twain/Grover Gardner,3.86,560,8879,2/11/2003,eng,4609.25,4,722.0,2.9292013566548074,7109.0,2.6,8270.0,3,2336.0
9802,Beat That! Cookbook,Ann Hodgman,4.31,208,34,10/7/1999,eng,4610.5,4,7954.0,3.236390996675024,1175.0,2.8,7476.0,4,1837.0
597,A Tale of Two Cities,Charles Dickens/Keith Cox/Cynthia Brantley Johnson,3.84,496,131,5/1/2004,eng,4611.25,4,600.0,2.9155484837650203,7377.0,2.6,8223.0,3,2245.0
2358,Odds Against,Dick Francis,4.06,277,56,4/1/2000,eng,4611.75,4,2021.0,3.0657300855526812,3980.0,2.8,3294.0,0,9152.0
598,A Tale of Two Cities,Charles Dickens/Gillen D'Arcy Wood,3.84,409,1343,7/25/2004,eng,4612.25,4,601.0,2.9155484837650203,7378.0,2.6,8224.0,3,2246.0
4259,The Rough Guide to Australia 7,Margo Daly/David Leffman/Anne Dehne/Chris   Scott,3.93,1256,8,10/1/2005,eng,4613.0,4,3579.0,2.976986411769064,6102.0,2.8,4402.0,3,4369.0
5024,The Pillow Book,Sei Shōnagon/Ivan Morris,4.02,419,3786,12/30/1991,eng,4613.5,4,4182.0,3.0384243397731066,4627.0,2.8,4821.0,3,4824.0
600,A Tale of Two Cities,Charles Dickens/Gillen D'Arcy Wood,3.84,429,730,12/1/2003,en-US,4613.75,4,603.0,2.9155484837650203,7379.0,2.6,8225.0,3,2248.0
2660,Men Who Hate Women and the Women Who Love Them: When Loving Hurts and You Don't Know Why,Susan Forward/Joan Torres,4.09,304,1570,1/2/2002,eng,4614.5,4,2255.0,3.0862093948873626,3520.0,2.8,3460.0,0,9223.0
9616,Introduction to Superstrings and M-Theory,Michio Kaku/Joseph L. Birman/H. Eugene Stanley/J.W. Lynn/M.P. Silverman/M. Voloshin,4.27,587,216,7/30/1999,eng,4614.5,4,7808.0,3.209085250895449,1487.0,2.8,7368.0,4,1795.0
601,A Tale of Two Cities,Charles Dickens/Simon Schama,3.84,432,39,3/18/1993,eng,4614.75,4,604.0,2.9155484837650203,7380.0,2.6,8226.0,3,2249.0
9489,The Lion  the Witch and the Wardrobe (Chronicles of Narnia  #1),Hiawyn Oram/C.S. Lewis/Tudor Humphries,4.25,48,6307,9/21/2004,eng,4615.0,4,7706.0,3.1954323780056617,1691.0,2.8,7291.0,4,1772.0
9425,Playing in the Dark: Whiteness and the Literary Imagination,Toni Morrison,4.24,110,3738,5/1/1992,eng,4615.5,4,7658.0,3.1886059415607684,1785.0,2.8,7256.0,4,1763.0
2456,Jamie's Dinners: The Essential Family Cookbook,Jamie Oliver/Marion Deuchars/David Loftus/Chris Terry,4.07,336,4296,11/3/2004,eng,4615.5,4,2098.0,3.0725565219975755,3834.0,2.8,3353.0,0,9177.0
9888,Black Like Us: A Century of Lesbian  Gay  and Bisexual African American Fiction,Devon W. Carbado/Evelyn C. White/Dwight A. McBride/Donald Weise,4.33,600,127,5/28/2002,eng,4615.5,4,8028.0,3.2500438695648115,1059.0,2.8,7526.0,4,1849.0
4028,The Greenlanders,Jane Smiley,3.9,608,2013,9/13/2005,eng,4616.0,4,3402.0,2.9565071024343825,6559.0,2.8,4277.0,3,4226.0
4266,Corpse: Nature  Forensics  and the Struggle to Pinpoint Time of Death,Jessica Snyder Sachs,3.93,270,937,10/17/2002,eng,4616.5,4,3585.0,2.976986411769064,6103.0,2.8,4405.0,3,4373.0
2295,Old Town in the Green Groves: Laura Ingalls Wilder's Lost Little House Years,Cynthia Rylant/Jim LaMarche,4.05,176,4799,6/1/2004,eng,4616.75,4,1964.0,3.058903649107788,4132.0,2.8,3245.0,0,9126.0
9213,American Tabloid (Underworld USA #1),James Ellroy,4.21,592,11787,4/24/2001,eng,4617.5,4,7502.0,3.168126632226087,2084.0,2.8,7156.0,4,1728.0
3960,Throne of Jade (Temeraire  #2),Naomi Novik,3.89,398,30029,4/25/2006,eng,4618.25,4,3342.0,2.9496806659894887,6716.0,2.8,4228.0,3,4187.0
3961,Thrones  Dominations,Dorothy L. Sayers/Jill Paton Walsh,3.89,322,165,3/15/1999,en-US,4619.25,4,3343.0,2.9496806659894887,6717.0,2.8,4229.0,3,4188.0
3409,Complete Plays 1920–1931,Eugene O'Neill/Travis Bogard,4.18,1092,90,10/1/1988,eng,4619.5,4,2861.0,3.1476473228914057,2341.0,2.8,3881.0,0,9395.0
2925,Che Guevara: A Revolutionary Life,Jon Lee Anderson/José Hernández/Leena Nivala,4.12,814,15468,3/9/1998,eng,4620.0,4,2464.0,3.106688704222044,3129.0,2.8,3604.0,0,9283.0
612,J.K.Rowling,Colleen Sexton,3.84,112,127,9/1/2005,eng,4620.75,4,615.0,2.9155484837650203,7381.0,2.6,8231.0,3,2256.0
9441,Discovering God's Will,Sinclair B. Ferguson,4.24,126,92,3/1/1982,eng,4621.75,4,7669.0,3.1886059415607684,1786.0,2.8,7266.0,4,1766.0
4376,Marvel 1602,Neil Gaiman/Andy Kubert/Richard Isanove/Peter Sanderson/Todd Klein,3.94,248,48894,8/2/2006,eng,4622.25,4,3668.0,2.983812848213957,5922.0,2.8,4455.0,3,4444.0
2146,The Metamorphosis and Other Stories,Franz Kafka/Jason Baker/Donna Freed,4.03,224,38114,7/1/2003,eng,4624.25,4,1837.0,3.0452507762180008,4442.0,2.8,3142.0,0,9076.0
2866,The Bachman Books,Richard Bachman/Stephen King,4.11,704,62529,10/1/1996,eng,4624.75,4,2416.0,3.09986226777715,3252.0,2.8,3568.0,0,9263.0
4456,The Piano Shop on the Left Bank: Discovering a Forgotten Passion in a Paris Atelier,Thad Carhart,3.9500000000000006,281,4151,3/12/2002,eng,4625.0,4,3727.0,2.9906392846588514,5782.0,2.8,4494.0,3,4497.0
2690,Jesus' Son,Denis Johnson,4.09,192,321,1/23/2007,eng,4625.25,4,2277.0,3.0862093948873626,3521.0,2.8,3474.0,0,9229.0
2147,The Metamorphosis and Other Stories,Franz Kafka/Stanley Appelbaum,4.03,88,2474,4/12/1996,eng,4625.25,4,1838.0,3.0452507762180008,4443.0,2.8,3143.0,0,9077.0
3424,The Idiot,Fyodor Dostoyevsky/Anna Brailovsky/Joseph Frank/Constance Garnett/Alan Myers,4.18,667,94133,4/8/2003,eng,4626.25,4,2873.0,3.1476473228914057,2342.0,2.8,3890.0,0,9400.0
4792,Dracula,Bram Stoker/Jan Needle/Gary Blythe,3.99,336,73,10/4/2004,eng,4626.5,4,3985.0,3.017945030438426,5130.0,2.8,4674.0,3,4717.0
2155,Ahab's Wife  or The Star-Gazer,Sena Jeter Naslund,4.03,704,40049,8/2/2005,eng,4627.0,4,1841.0,3.0452507762180008,4444.0,2.8,3145.0,0,9078.0
3909,The Case Of The Golden Key (Jigsaw Jones Mystery #19),James Preller/Jamie  Smith,3.8800000000000003,80,87,9/1/2002,eng,4627.0,4,3298.0,2.9428542295445954,6865.0,2.8,4196.0,3,4149.0
4793,Dracula,Bram Stoker/Joseph Valente,3.99,528,9871,10/1/2003,eng,4627.5,4,3986.0,3.017945030438426,5131.0,2.8,4675.0,3,4718.0
4794,Dracula,Bram Stoker/Robert Whitfield,3.99,15,53,12/1/1998,eng,4628.5,4,3987.0,3.017945030438426,5132.0,2.8,4676.0,3,4719.0
2872,The Road to Reality: A Complete Guide to the Laws of the Universe,Roger Penrose,4.11,1099,6164,1/9/2007,eng,4628.5,4,2422.0,3.09986226777715,3253.0,2.8,3573.0,0,9266.0
9649,Bite Me If You Can (Argeneau #6),Lynsay Sands,4.27,384,17950,1/30/2007,eng,4629.75,4,7836.0,3.209085250895449,1488.0,2.8,7391.0,4,1804.0
4796,Dracula,Bram Stoker/Nina Auerbach/David J. Skal,3.99,488,774987,5/12/1986,eng,4629.75,4,3988.0,3.017945030438426,5133.0,2.8,4677.0,3,4721.0
4468,A Dance to the Music of Time: 1st Movement (A Dance to the Music of Time  #1-3),Anthony Powell,3.9500000000000006,718,3817,5/31/1995,eng,4631.0,4,3735.0,2.9906392846588514,5783.0,2.8,4500.0,3,4506.0
4393,White Man's Grave,Richard Dooling,3.94,400,367,3/15/1995,eng,4631.25,4,3681.0,2.983812848213957,5923.0,2.8,4465.0,3,4456.0
725,Farmer Giles of Ham,J.R.R. Tolkien/Christina Scull/Wayne G. Hammond,3.85,127,5526,11/15/1999,eng,4633.5,4,702.0,2.922374920209914,7250.0,2.6,8263.0,3,2319.0
4987,Ring for Jeeves (Jeeves  #10),P.G. Wodehouse,4.01,208,2785,4/12/2004,eng,4634.0,4,4147.0,3.0315979033282128,4787.0,2.8,4795.0,3,4807.0
9605,Black Hole  tome 4 : Reine des lézards,Charles Burns,4.26,64,19,10/21/2002,fre,4634.75,4,7798.0,3.2022588144505555,1586.0,2.8,7362.0,4,1793.0
817,The Portable Chaucer,Geoffrey Chaucer/Theodore Morrison,3.86,611,70,5/26/1977,eng,4636.75,4,772.0,2.9292013566548074,7110.0,2.6,8286.0,3,2379.0
4992,Mr. Mulliner Speaking,P.G. Wodehouse,4.01,232,1497,3/3/2005,en-US,4637.25,4,4152.0,3.0315979033282128,4788.0,2.8,4800.0,3,4809.0
2503,Lara's Leap of Faith (The Royal Ballet School Diaries  #2),Alexandra Moss/Veronica Bennett,4.07,144,155,1/13/2005,eng,4637.5,4,2137.0,3.0725565219975755,3835.0,2.8,3385.0,0,9193.0
5075,In Favor of the Sensitive Man and Other Essays,Anaïs Nin,4.02,180,520,4/1/1976,eng,4640.5,4,4228.0,3.0384243397731066,4628.0,2.8,4851.0,3,4855.0
2340,Break In (Kit Fielding  #1),Dick Francis,4.05,320,3758,1/4/2005,eng,4640.5,4,2004.0,3.058903649107788,4133.0,2.8,3280.0,0,9145.0
2342,Straight,Dick Francis,4.05,320,3513,2/7/2006,eng,4642.0,4,2006.0,3.058903649107788,4134.0,2.8,3282.0,0,9146.0
4418,An Instance of the Fingerpost,Iain Pears,3.94,691,19134,4/1/2000,eng,4642.0,4,3700.0,2.983812848213957,5924.0,2.8,4477.0,3,4467.0
9914,The Carl Hiaasen Collection: Lucky You and Sick Puppy,Carl Hiaasen/Edward Asner,4.32,0,90,6/6/2006,en-US,4643.0,4,8047.0,3.2432174331199177,1129.0,2.8,7540.0,4,1856.0
4419,An Instance of the Fingerpost,Iain Pears,3.94,691,214,3/16/1998,eng,4643.0,4,3701.0,2.983812848213957,5925.0,2.8,4478.0,3,4468.0
4085,Ecstasia,Francesca Lia Block,3.9,196,1543,1/19/2004,eng,4643.5,4,3446.0,2.9565071024343825,6560.0,2.8,4311.0,3,4257.0
9565,The Complete Stories,Zora Neale Hurston/Henry Louis Gates Jr./Sieglinde Lemke,4.25,336,756,1/5/1996,eng,4643.75,4,7764.0,3.1954323780056617,1692.0,2.8,7333.0,4,1786.0
2624,The Homecoming,Ray Bradbury/Dave McKean,4.08,56,806,8/30/2006,en-US,4644.0,4,2230.0,3.0793829584424692,3693.0,2.8,3441.0,0,9212.0
9627,Tell Me How Long the Train's Been Gone,James Baldwin,4.26,496,2162,2/17/1998,eng,4644.25,4,7817.0,3.2022588144505555,1587.0,2.8,7374.0,4,1799.0
3302,On Certainty,Ludwig Wittgenstein/G.E.M. Anscombe/George Henrik von Wright,4.16,114,75,1/16/1991,en-US,4644.75,4,2770.0,3.1339944500016186,2633.0,2.8,3807.0,0,9369.0
2990,Jane Eyre,Charlotte Brontë/Stevie Davies,4.12,590,8333,6/29/2006,eng,4646.25,4,2517.0,3.106688704222044,3130.0,2.8,3638.0,0,9300.0
2991,Jane Eyre,Charlotte Brontë/Richard J. Dunn,4.12,534,1475,12/13/2000,eng,4647.25,4,2518.0,3.106688704222044,3131.0,2.8,3639.0,0,9301.0
4015,Iceland's Bell,Halldór Laxness/Philip Roughton/Adam Haslett,3.89,425,1262,10/14/2003,eng,4649.0,4,3392.0,2.9496806659894887,6718.0,2.8,4267.0,3,4219.0
4757,The Stranger,Albert Camus/Stuart Gilbert,3.98,154,1493,9/12/1954,en-US,4649.5,4,3957.0,3.011118593993532,5293.0,2.8,4660.0,3,4688.0
609,Martin Chuzzlewit,Charles Dickens/Patricia Ingham/Hablot Knight Browne,3.83,830,13212,11/25/1999,eng,4651.0,4,612.0,2.9087220473201265,7509.0,2.6,8229.0,3,2254.0
9989,The Nature of Play: Great Apes and Humans,Anthony D. Pellegrini/Peter K. Smith,4.33,308,3,12/6/2004,eng,4652.25,4,8101.0,3.2500438695648115,1060.0,2.8,7581.0,4,1867.0
4762,The Two-Mile Time Machine: Ice Cores  Abrupt Climate Change  and Our Future,Richard B. Alley,3.98,229,143,7/21/2002,eng,4652.75,4,3962.0,3.011118593993532,5294.0,2.8,4664.0,3,4691.0
3480,Chesapeake,James A. Michener,4.18,1024,19174,9/9/2003,eng,4653.0,4,2923.0,3.1476473228914057,2343.0,2.8,3930.0,0,9416.0
3255,Stolen (Women of the Otherworld  #2),Kelley Armstrong,4.15,468,37400,9/28/2004,eng,4653.0,4,2731.0,3.1271680135567252,2744.0,2.8,3779.0,0,9358.0
4519,Sleeping Murder (Miss Marple  #13),Agatha Christie,3.9500000000000006,242,19657,8/4/2003,eng,4655.0,4,3772.0,2.9906392846588514,5784.0,2.8,4528.0,3,4536.0
9398,Certain Prey (Lucas Davenport  #10),John Sandford,4.22,384,15377,2/21/2004,eng,4655.0,4,7639.0,3.1749530686709804,1979.0,2.8,7244.0,4,1758.0
2935,Einstein: His Life and Universe,Walter Isaacson,4.11,675,113315,4/10/2007,eng,4655.5,4,2472.0,3.09986226777715,3254.0,2.8,3610.0,0,9286.0
2211,Five Little Peppers and How They Grew (Five Little Peppers  #1),Margaret Sidney,4.03,352,22023,6/1/2006,eng,4656.5,4,1890.0,3.0452507762180008,4445.0,2.8,3188.0,0,9103.0
2773,Infections and Inequalities: The Modern Plagues,Paul Farmer,4.09,424,2534,2/23/2001,eng,4656.75,4,2340.0,3.0862093948873626,3522.0,2.8,3520.0,0,9245.0
2466,Live Like a Jesus Freak: Spend Today as If It Were Your Last,D.C. Talk,4.06,184,591,11/1/2001,eng,4657.5,4,2107.0,3.0657300855526812,3981.0,2.8,3361.0,0,9181.0
3267,The Rebel,Albert Camus/Anthony Bower/Herbert Read,4.15,320,9227,1/1/1992,eng,4657.75,4,2741.0,3.1271680135567252,2745.0,2.8,3785.0,0,9360.0
9920,Matilda,Roald Dahl/Quentin Blake,4.31,240,541914,6/1/1998,eng,4657.75,4,8053.0,3.236390996675024,1176.0,2.8,7545.0,4,1857.0
2467,Freaks!: How to Draw Fantastic Fantasy Creatures,Steve  Miller,4.06,144,31,6/1/2004,eng,4658.5,4,2108.0,3.0657300855526812,3982.0,2.8,3362.0,0,9182.0
788,Ready for Anything: 52 Productivity Principles for Getting Things Done,David    Allen,3.85,165,3832,12/28/2004,eng,4660.25,4,751.0,2.922374920209914,7251.0,2.6,8279.0,3,2360.0
4043,A Reading Guide to Island of the Blue Dolphins,Patricia McHugh,3.89,64,4,7/1/2003,eng,4663.25,4,3413.0,2.9496806659894887,6719.0,2.8,4285.0,3,4236.0
9351,Love's Executioner  And Other Tales Of Psychotherapy,Irvin D. Yalom,4.21,270,226,1/31/1995,eng,4664.0,4,7599.0,3.168126632226087,2085.0,2.8,7221.0,4,1751.0
3202,The Labyrinth of Solitude and Other Writings,Octavio Paz/Lysander Kemp/Yara Milos,4.14,398,5170,1/12/1994,eng,4664.0,4,2692.0,3.120341577111831,2864.0,2.8,3754.0,0,9346.0
639,Freedom Evolves,Daniel C. Dennett,3.83,368,2324,1/27/2004,eng,4664.25,4,634.0,2.9087220473201265,7510.0,2.6,8241.0,3,2272.0
5048,Beyond Good and Evil: Prelude to a Philosophy of the Future,Friedrich Nietzsche/Walter Kaufmann,4.01,256,50,12/17/1989,eng,4665.5,4,4204.0,3.0315979033282128,4789.0,2.8,4830.0,3,4839.0
9797,The Damned (Vampire Huntress  #6),L.A. Banks,4.28,487,69,1/24/2006,eng,4666.0,4,7951.0,3.215911687340343,1404.0,2.8,7474.0,4,1835.0
4126,The God Delusion,Richard Dawkins,3.9,374,197099,10/18/2006,eng,4666.75,4,3484.0,2.9565071024343825,6561.0,2.8,4336.0,3,4286.0
9798,The Damned (Vampire Huntress  #6),L.A. Banks,4.28,492,1993,1/2/2007,eng,4667.0,4,7952.0,3.215911687340343,1405.0,2.8,7475.0,4,1836.0
9619,Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem,Simon Singh,4.25,315,19473,9/8/1998,eng,4667.5,4,7811.0,3.1954323780056617,1693.0,2.8,7370.0,4,1796.0
9358,Pink Flamingos and Other Filth: Three Screenplays,John Waters,4.21,258,48,4/7/2005,eng,4668.0,4,7606.0,3.168126632226087,2086.0,2.8,7226.0,4,1754.0
984,A Chosen Few: The Resurrection of European Jewry (Reader's Circle),Mark Kurlansky,3.8699999999999997,456,51,3/26/2002,eng,4668.0,4,906.0,2.936027793099701,6970.0,2.6,8324.0,3,2472.0
4132,Neuromancer,William Gibson,3.9,384,1647,11/2/2004,eng,4669.75,4,3487.0,2.9565071024343825,6562.0,2.8,4338.0,3,4292.0
653,The Physics of Star Trek,Lawrence M. Krauss/Stephen Hawking,3.83,188,4774,8/16/1996,eng,4670.25,4,647.0,2.9087220473201265,7511.0,2.6,8244.0,3,2279.0
3445,Sometimes a Great Notion,Ken Kesey/Charles Bowden,4.17,715,577,8/29/2006,eng,4671.0,4,2890.0,3.1408208864465124,2484.0,2.8,3903.0,0,9407.0
2242,Mr. Bump,Roger Hargreaves,4.03,32,1701,3/23/1998,eng,4671.0,4,1916.0,3.0452507762180008,4446.0,2.8,3210.0,0,9112.0
